staff_id,department,current_role,current_skills,target_department,target_role,required_skills,seniority_years,recent_training_hours,performance_rating,avg_salary_usd,recent_ot_hours
STF-00277,Credit & Lending,Underwriter,"data_analytics,loan_underwriting,aml_compliance,credit_risk,leadership",Compliance & Risk,Compliance Officer,"cybersecurity,leadership,branch_management",2.2,20.0,2,920.56,9.2
STF-00278,Credit & Lending,Loan Officer,"loan_underwriting,data_analytics,aml_compliance,cybersecurity",Credit & Lending,Underwriter,"aml_compliance,data_analytics,treasury_ops",4.7,18.0,1,981.8,7.2
STF-00279,Digital & IT,IT Support Analyst,"digital_banking,it_support,cybersecurity",Credit & Lending,Underwriter,"credit_risk,data_analytics,aml_compliance",3.4,19.0,3,736.54,7.9
STF-00280,Retail Banking,Branch Officer,"branch_management,customer_service",Retail Banking,Branch Supervisor,"customer_service,teller_ops,sales_advisory,branch_management",2.8,18.0,2,708.13,9.9
STF-00281,Compliance & Risk,AML Investigator,"cybersecurity,credit_risk,leadership,aml_compliance",Private & Wealth,Relationship Manager,"customer_service,sales_advisory,aml_compliance",1.2,22.0,4,727.5,7.1
STF-00282,Private & Wealth,Private Banker,"wealth_management,customer_service,sales_advisory",Credit & Lending,Underwriter,"loan_underwriting,credit_risk",6.3,13.0,2,691.13,6.4
STF-00283,Retail Banking,Branch Supervisor,"customer_service,branch_management,sales_advisory,teller_ops",Retail Banking,Branch Supervisor,"sales_advisory,branch_management,customer_service",2.5,17.0,4,641.58,8.4
STF-00284,Compliance & Risk,AML Investigator,"aml_compliance,leadership,cybersecurity",Compliance & Risk,Risk Analyst,"leadership,aml_compliance,loan_underwriting",4.7,18.0,2,727.25,16.0
STF-00285,Retail Banking,Branch Supervisor,"sales_advisory,teller_ops,customer_service,branch_management",Private & Wealth,Wealth Advisor,"leadership,wealth_management,teller_ops",4.0,17.0,4,740.61,0.0
STF-00286,Treasury & Markets,Treasury Analyst,"forex_ops,credit_risk,leadership",Treasury & Markets,FX Dealer,"treasury_ops,credit_risk",7.8,21.0,3,907.9,9.1
STF-00287,Credit & Lending,Underwriter,"aml_compliance,loan_underwriting,credit_risk,cybersecurity",Treasury & Markets,Markets Associate,"data_analytics,credit_risk,forex_ops",3.9,16.0,3,705.45,3.7
STF-00288,Private & Wealth,Wealth Advisor,"wealth_management,sales_advisory,customer_service,leadership,treasury_ops",Private & Wealth,Wealth Advisor,"wealth_management,customer_service,leadership",3.1,22.0,4,798.54,4.6
STF-00289,Credit & Lending,Credit Analyst,"aml_compliance,data_analytics,loan_underwriting,credit_risk",Digital & IT,Digital Banking Officer,"it_support,digital_banking,cybersecurity,branch_management",8.5,10.0,2,764.76,2.0
STF-00290,Digital & IT,Digital Banking Officer,"it_support,data_analytics,cybersecurity,forex_ops",Treasury & Markets,Markets Associate,"forex_ops,credit_risk,customer_service",8.0,15.0,3,805.59,3.8
STF-00291,Retail Banking,Teller,"sales_advisory,customer_service,branch_management,wealth_management",Digital & IT,IT Support Analyst,"it_support,digital_banking,branch_management",2.4,9.0,4,1009.86,0.0
STF-00292,Compliance & Risk,Compliance Officer,"leadership,credit_risk,aml_compliance,cybersecurity",Credit & Lending,Credit Analyst,"loan_underwriting,data_analytics,aml_compliance,treasury_ops",1.8,26.0,3,713.4,13.8
STF-00293,Retail Banking,Teller,"branch_management,sales_advisory,teller_ops,customer_service,treasury_ops",Retail Banking,Branch Supervisor,"customer_service,sales_advisory,teller_ops",0.5,19.0,4,363.42,6.4
STF-00294,Private & Wealth,Relationship Manager,"wealth_management,sales_advisory,leadership",Private & Wealth,Wealth Advisor,"leadership,customer_service,cybersecurity",3.2,20.0,3,831.9,7.5
STF-00295,Private & Wealth,Private Banker,"leadership,customer_service,wealth_management,forex_ops",Private & Wealth,Relationship Manager,"leadership,customer_service",2.6,17.0,3,729.34,5.1
STF-00296,Treasury & Markets,FX Dealer,"credit_risk,forex_ops,treasury_ops,data_analytics",Digital & IT,Systems Administrator,"it_support,data_analytics,loan_underwriting",5.0,23.0,2,816.83,5.5
STF-00297,Digital & IT,Systems Administrator,"digital_banking,cybersecurity,data_analytics,it_support",Digital & IT,Digital Banking Officer,"digital_banking,cybersecurity",7.5,15.0,3,901.71,10.2
STF-00298,Private & Wealth,Relationship Manager,"wealth_management,leadership,customer_service,digital_banking",Private & Wealth,Private Banker,"sales_advisory,customer_service,leadership",6.1,17.0,3,735.11,3.8
STF-00299,Digital & IT,IT Support Analyst,"data_analytics,it_support,cybersecurity,digital_banking",Compliance & Risk,AML Investigator,"leadership,credit_risk,aml_compliance",6.8,19.0,5,918.89,10.4
STF-00300,Compliance & Risk,Compliance Officer,"cybersecurity,leadership,credit_risk",Treasury & Markets,FX Dealer,"data_analytics,credit_risk",7.3,17.0,3,927.44,8.7
STF-00301,Credit & Lending,Lending Manager,"loan_underwriting,data_analytics,it_support",Retail Banking,Customer Service Rep,"sales_advisory,branch_management,teller_ops,forex_ops",5.3,19.0,4,844.19,4.2
STF-00302,Retail Banking,Teller,"customer_service,branch_management,it_support",Retail Banking,Branch Officer,"teller_ops,branch_management",7.1,14.0,3,1022.16,1.1
STF-00303,Retail Banking,Branch Officer,"branch_management,customer_service,sales_advisory,teller_ops,wealth_management",Compliance & Risk,Risk Analyst,"cybersecurity,aml_compliance",6.7,23.0,3,775.21,8.0
STF-00304,Treasury & Markets,FX Dealer,"forex_ops,credit_risk",Treasury & Markets,FX Dealer,"forex_ops,credit_risk,treasury_ops,leadership",1.3,12.0,4,641.25,6.6
STF-00305,Treasury & Markets,Treasury Analyst,"credit_risk,data_analytics,treasury_ops",Private & Wealth,Private Banker,"leadership,sales_advisory,teller_ops",9.5,19.0,4,1031.49,1.6
STF-00306,Treasury & Markets,FX Dealer,"forex_ops,data_analytics,credit_risk,treasury_ops",Treasury & Markets,Treasury Analyst,"treasury_ops,data_analytics,teller_ops",7.3,17.0,3,1107.69,4.5
STF-00307,Private & Wealth,Relationship Manager,"leadership,customer_service,wealth_management,data_analytics",Private & Wealth,Relationship Manager,"customer_service,wealth_management,leadership,forex_ops",6.5,20.0,2,838.82,9.2
STF-00308,Retail Banking,Teller,"branch_management,customer_service,sales_advisory",Retail Banking,Branch Supervisor,"sales_advisory,branch_management,teller_ops",2.6,10.0,2,728.49,3.4
STF-00309,Private & Wealth,Wealth Advisor,"wealth_management,customer_service",Private & Wealth,Private Banker,"sales_advisory,wealth_management,loan_underwriting",6.5,9.0,3,828.9,10.9
STF-00310,Credit & Lending,Credit Analyst,"credit_risk,loan_underwriting,aml_compliance,forex_ops",Credit & Lending,Underwriter,"data_analytics,loan_underwriting,aml_compliance",4.1,22.0,3,909.72,5.1
STF-00311,Credit & Lending,Underwriter,"loan_underwriting,aml_compliance,data_analytics,credit_risk,branch_management",Credit & Lending,Lending Manager,"data_analytics,credit_risk,aml_compliance,wealth_management",8.0,14.0,2,1004.38,6.6
STF-00312,Digital & IT,IT Support Analyst,"digital_banking,cybersecurity,it_support,data_analytics",Retail Banking,Customer Service Rep,"customer_service,branch_management",6.1,13.0,2,790.16,13.3
STF-00313,Private & Wealth,Relationship Manager,"sales_advisory,leadership,wealth_management,customer_service",Private & Wealth,Wealth Advisor,"sales_advisory,leadership,customer_service",11.0,22.0,3,1118.96,0.4
STF-00314,Compliance & Risk,Compliance Officer,"aml_compliance,cybersecurity,leadership",Compliance & Risk,AML Investigator,"leadership,aml_compliance,cybersecurity",4.1,26.0,2,642.98,5.8
STF-00315,Retail Banking,Teller,"teller_ops,branch_management,customer_service,aml_compliance",Retail Banking,Branch Supervisor,"teller_ops,branch_management",2.4,17.0,3,488.45,2.5
STF-00316,Retail Banking,Branch Officer,"branch_management,customer_service",Compliance & Risk,AML Investigator,"aml_compliance,leadership,cybersecurity,it_support",3.6,16.0,3,772.5,7.7
STF-00317,Retail Banking,Branch Supervisor,"branch_management,customer_service,it_support",Compliance & Risk,Compliance Officer,"leadership,credit_risk,forex_ops",2.7,18.0,2,788.6,7.6
STF-00318,Retail Banking,Teller,"customer_service,branch_management,sales_advisory,teller_ops,data_analytics",Compliance & Risk,AML Investigator,"credit_risk,aml_compliance,cybersecurity,loan_underwriting",5.4,19.0,4,854.01,2.7
STF-00319,Retail Banking,Branch Supervisor,"branch_management,sales_advisory,teller_ops",Retail Banking,Teller,"customer_service,branch_management",5.5,10.0,4,712.57,0.0
STF-00320,Compliance & Risk,Compliance Officer,"aml_compliance,cybersecurity,credit_risk",Retail Banking,Branch Officer,"teller_ops,sales_advisory,customer_service,wealth_management",4.6,21.0,2,918.71,3.3
STF-00321,Private & Wealth,Wealth Advisor,"customer_service,wealth_management,aml_compliance",Treasury & Markets,Markets Associate,"treasury_ops,data_analytics,forex_ops",7.0,19.0,3,659.28,0.5
STF-00322,Private & Wealth,Wealth Advisor,"leadership,sales_advisory,customer_service,wealth_management",Private & Wealth,Wealth Advisor,"leadership,wealth_management,cybersecurity",1.2,19.0,3,685.52,4.6
STF-00323,Credit & Lending,Loan Officer,"data_analytics,loan_underwriting,aml_compliance",Credit & Lending,Lending Manager,"credit_risk,loan_underwriting,aml_compliance",5.0,15.0,1,772.62,4.7
STF-00324,Private & Wealth,Relationship Manager,"leadership,wealth_management,sales_advisory,teller_ops",Compliance & Risk,Risk Analyst,"leadership,credit_risk",4.8,17.0,2,659.83,0.0
STF-00325,Credit & Lending,Lending Manager,"data_analytics,loan_underwriting,digital_banking",Credit & Lending,Credit Analyst,"aml_compliance,data_analytics",4.5,21.0,3,742.55,10.4
STF-00326,Retail Banking,Branch Supervisor,"sales_advisory,teller_ops,customer_service,branch_management,wealth_management",Retail Banking,Customer Service Rep,"teller_ops,branch_management,digital_banking",3.1,17.0,4,791.22,0.0
STF-00327,Digital & IT,Digital Banking Officer,"cybersecurity,data_analytics,it_support,digital_banking,customer_service",Digital & IT,Digital Banking Officer,"digital_banking,it_support",2.7,10.0,2,767.37,4.9
STF-00328,Treasury & Markets,FX Dealer,"credit_risk,forex_ops,data_analytics,treasury_ops,branch_management",Treasury & Markets,Markets Associate,"credit_risk,forex_ops,it_support",5.1,18.0,2,805.44,3.6
STF-00329,Private & Wealth,Relationship Manager,"wealth_management,customer_service,leadership,sales_advisory,forex_ops",Private & Wealth,Wealth Advisor,"customer_service,leadership",1.7,26.0,3,617.35,4.3
STF-00330,Treasury & Markets,Markets Associate,"credit_risk,data_analytics,forex_ops,treasury_ops",Treasury & Markets,Treasury Analyst,"treasury_ops,forex_ops,credit_risk,wealth_management",6.0,18.0,2,665.59,8.7
STF-00331,Compliance & Risk,AML Investigator,"leadership,aml_compliance,credit_risk,cybersecurity",Compliance & Risk,AML Investigator,"aml_compliance,credit_risk,leadership,forex_ops",6.4,22.0,4,828.96,0.9
STF-00332,Credit & Lending,Credit Analyst,"loan_underwriting,credit_risk,aml_compliance,data_analytics",Compliance & Risk,AML Investigator,"cybersecurity,aml_compliance,leadership",4.9,19.0,3,878.35,5.7
STF-00333,Digital & IT,IT Support Analyst,"it_support,digital_banking,cybersecurity,data_analytics",Retail Banking,Branch Supervisor,"teller_ops,branch_management,customer_service,data_analytics",2.0,25.0,3,805.7,10.8
STF-00334,Private & Wealth,Relationship Manager,"wealth_management,leadership,customer_service,cybersecurity",Treasury & Markets,Markets Associate,"data_analytics,forex_ops,credit_risk",9.6,14.0,3,1017.21,5.8
STF-00335,Digital & IT,IT Support Analyst,"data_analytics,it_support,digital_banking,cybersecurity",Private & Wealth,Wealth Advisor,"wealth_management,customer_service,treasury_ops",6.0,20.0,3,1141.27,10.3
STF-00336,Retail Banking,Customer Service Rep,"teller_ops,sales_advisory,customer_service,loan_underwriting",Compliance & Risk,Compliance Officer,"leadership,cybersecurity,forex_ops",5.3,16.0,2,537.81,1.1
STF-00337,Digital & IT,IT Support Analyst,"it_support,cybersecurity",Digital & IT,Systems Administrator,"cybersecurity,digital_banking,teller_ops",8.9,17.0,3,719.59,10.2
STF-00338,Treasury & Markets,Markets Associate,"data_analytics,forex_ops,credit_risk",Digital & IT,Systems Administrator,"it_support,digital_banking,data_analytics",5.9,25.0,3,749.7,6.4
STF-00339,Private & Wealth,Wealth Advisor,"wealth_management,sales_advisory,leadership,customer_service",Treasury & Markets,Treasury Analyst,"data_analytics,treasury_ops",7.8,9.0,3,735.18,9.2
STF-00340,Compliance & Risk,AML Investigator,"credit_risk,leadership,cybersecurity",Compliance & Risk,Compliance Officer,"leadership,credit_risk,aml_compliance,wealth_management",5.2,18.0,4,757.6,8.9
STF-00341,Private & Wealth,Wealth Advisor,"wealth_management,sales_advisory,customer_service",Private & Wealth,Relationship Manager,"customer_service,wealth_management,leadership",5.4,12.0,3,830.32,9.3
STF-00342,Compliance & Risk,Risk Analyst,"aml_compliance,credit_risk,cybersecurity,leadership,forex_ops",Compliance & Risk,Compliance Officer,"cybersecurity,credit_risk,aml_compliance",6.6,21.0,2,812.9,12.2
STF-00343,Retail Banking,Branch Officer,"branch_management,sales_advisory,customer_service,teller_ops",Retail Banking,Branch Supervisor,"branch_management,teller_ops",8.8,18.0,4,891.9,8.5
STF-00344,Compliance & Risk,Compliance Officer,"aml_compliance,credit_risk",Treasury & Markets,FX Dealer,"data_analytics,treasury_ops",3.3,18.0,4,792.7,7.0
STF-00345,Compliance & Risk,AML Investigator,"credit_risk,cybersecurity,aml_compliance,forex_ops",Digital & IT,Systems Administrator,"data_analytics,it_support,cybersecurity,sales_advisory",4.4,15.0,3,797.72,4.9
STF-00346,Compliance & Risk,AML Investigator,"credit_risk,cybersecurity",Compliance & Risk,AML Investigator,"leadership,cybersecurity,teller_ops",3.7,23.0,2,856.32,0.0
STF-00347,Digital & IT,IT Support Analyst,"data_analytics,it_support,leadership",Digital & IT,IT Support Analyst,"data_analytics,digital_banking",5.8,14.0,2,859.37,10.1
STF-00348,Credit & Lending,Loan Officer,"data_analytics,loan_underwriting,credit_risk,branch_management",Credit & Lending,Credit Analyst,"credit_risk,data_analytics",3.0,16.0,2,816.35,9.4
STF-00349,Retail Banking,Teller,"sales_advisory,customer_service,data_analytics",Treasury & Markets,Treasury Analyst,"credit_risk,data_analytics",7.5,16.0,2,868.23,11.5
STF-00350,Private & Wealth,Wealth Advisor,"leadership,sales_advisory",Private & Wealth,Wealth Advisor,"sales_advisory,customer_service,wealth_management",1.7,9.0,3,788.83,8.6
STF-00351,Compliance & Risk,Risk Analyst,"cybersecurity,aml_compliance,leadership",Compliance & Risk,Risk Analyst,"leadership,credit_risk,aml_compliance",5.0,23.0,2,733.15,7.1
STF-00352,Retail Banking,Branch Supervisor,"customer_service,sales_advisory,leadership",Retail Banking,Branch Officer,"teller_ops,branch_management,sales_advisory",3.7,15.0,2,839.8,2.6
STF-00353,Private & Wealth,Private Banker,"wealth_management,sales_advisory,customer_service,forex_ops",Private & Wealth,Wealth Advisor,"wealth_management,customer_service,sales_advisory",6.6,19.0,2,784.17,7.2
STF-00354,Credit & Lending,Lending Manager,"credit_risk,loan_underwriting,branch_management",Credit & Lending,Credit Analyst,"credit_risk,loan_underwriting",15.0,18.0,2,1097.57,5.3
STF-00355,Credit & Lending,Credit Analyst,"loan_underwriting,aml_compliance",Credit & Lending,Underwriter,"aml_compliance,loan_underwriting,data_analytics,credit_risk",8.0,22.0,2,967.9,11.2
STF-00356,Compliance & Risk,Compliance Officer,"credit_risk,cybersecurity,aml_compliance,treasury_ops",Private & Wealth,Wealth Advisor,"wealth_management,customer_service,leadership",2.8,18.0,4,580.67,8.4
STF-00357,Credit & Lending,Credit Analyst,"loan_underwriting,aml_compliance,data_analytics,credit_risk",Treasury & Markets,Treasury Analyst,"data_analytics,credit_risk,forex_ops,it_support",2.5,16.0,4,692.21,6.3
STF-00358,Treasury & Markets,Treasury Analyst,"data_analytics,credit_risk",Retail Banking,Branch Officer,"sales_advisory,teller_ops,customer_service",7.1,21.0,4,871.5,6.1
STF-00359,Credit & Lending,Credit Analyst,"aml_compliance,loan_underwriting,credit_risk,data_analytics",Credit & Lending,Lending Manager,"credit_risk,aml_compliance,wealth_management",3.2,26.0,3,614.17,5.7
STF-00360,Retail Banking,Branch Officer,"customer_service,branch_management",Digital & IT,IT Support Analyst,"it_support,data_analytics,cybersecurity,wealth_management",9.0,23.0,2,815.24,3.9
STF-00361,Retail Banking,Branch Officer,"teller_ops,sales_advisory,it_support",Retail Banking,Branch Supervisor,"teller_ops,sales_advisory,aml_compliance",2.1,21.0,3,438.35,0.0
STF-00362,Private & Wealth,Wealth Advisor,"leadership,customer_service,sales_advisory,wealth_management",Compliance & Risk,Risk Analyst,"credit_risk,cybersecurity,aml_compliance,teller_ops",4.3,13.0,4,896.65,8.3
STF-00363,Retail Banking,Customer Service Rep,"branch_management,sales_advisory,digital_banking",Retail Banking,Customer Service Rep,"branch_management,customer_service,aml_compliance",0.3,26.0,3,723.84,2.7
STF-00364,Compliance & Risk,Risk Analyst,"credit_risk,cybersecurity,aml_compliance,loan_underwriting",Compliance & Risk,Compliance Officer,"aml_compliance,cybersecurity,credit_risk,digital_banking",7.2,19.0,3,674.04,14.7
STF-00365,Compliance & Risk,Risk Analyst,"credit_risk,aml_compliance,cybersecurity,leadership",Private & Wealth,Private Banker,"customer_service,leadership,wealth_management",1.5,22.0,3,579.91,1.4
STF-00366,Retail Banking,Branch Supervisor,"customer_service,branch_management",Retail Banking,Branch Officer,"branch_management,customer_service,teller_ops,forex_ops",1.5,15.0,2,561.97,8.7
STF-00367,Digital & IT,IT Support Analyst,"it_support,cybersecurity,digital_banking,loan_underwriting",Retail Banking,Customer Service Rep,"teller_ops,branch_management",4.0,22.0,2,537.12,3.3
STF-00368,Treasury & Markets,Markets Associate,"treasury_ops,forex_ops,data_analytics,credit_risk,teller_ops",Retail Banking,Branch Officer,"sales_advisory,customer_service,branch_management,credit_risk",2.5,16.0,3,954.39,5.3
STF-00369,Treasury & Markets,Markets Associate,"credit_risk,forex_ops",Credit & Lending,Credit Analyst,"data_analytics,credit_risk,aml_compliance,it_support",4.8,18.0,3,960.48,9.8
STF-00370,Retail Banking,Branch Officer,"teller_ops,customer_service,it_support",Retail Banking,Teller,"teller_ops,customer_service,branch_management",2.6,25.0,4,705.14,1.6
STF-00371,Retail Banking,Customer Service Rep,"customer_service,branch_management,teller_ops,cybersecurity",Digital & IT,Systems Administrator,"digital_banking,data_analytics,cybersecurity",13.1,17.0,3,886.72,9.9
STF-00372,Treasury & Markets,Markets Associate,"data_analytics,treasury_ops,forex_ops",Treasury & Markets,FX Dealer,"credit_risk,forex_ops,treasury_ops,branch_management",5.6,15.0,2,777.49,2.9
STF-00373,Compliance & Risk,Risk Analyst,"cybersecurity,aml_compliance,credit_risk",Retail Banking,Customer Service Rep,"customer_service,branch_management,teller_ops",2.1,20.0,4,647.51,7.2
STF-00374,Private & Wealth,Private Banker,"leadership,customer_service",Digital & IT,Digital Banking Officer,"cybersecurity,it_support,data_analytics,aml_compliance",2.3,21.0,3,800.28,3.1
STF-00375,Treasury & Markets,FX Dealer,"treasury_ops,forex_ops",Treasury & Markets,FX Dealer,"data_analytics,forex_ops",3.6,13.0,3,554.26,4.5
STF-00376,Credit & Lending,Credit Analyst,"data_analytics,credit_risk,aml_compliance,loan_underwriting",Retail Banking,Teller,"customer_service,sales_advisory,credit_risk",4.2,18.0,2,844.64,6.1
STF-00377,Treasury & Markets,FX Dealer,"forex_ops,treasury_ops,it_support",Treasury & Markets,Markets Associate,"forex_ops,treasury_ops,data_analytics,customer_service",6.8,10.0,3,667.07,9.4
STF-00378,Retail Banking,Customer Service Rep,"customer_service,teller_ops,sales_advisory,branch_management",Compliance & Risk,AML Investigator,"aml_compliance,leadership,cybersecurity",14.8,21.0,3,997.61,9.6
STF-00379,Compliance & Risk,AML Investigator,"cybersecurity,leadership",Treasury & Markets,Markets Associate,"data_analytics,treasury_ops,wealth_management",2.8,17.0,4,724.52,8.6
STF-00380,Private & Wealth,Relationship Manager,"wealth_management,sales_advisory,customer_service,teller_ops",Private & Wealth,Relationship Manager,"customer_service,wealth_management",12.9,19.0,3,1113.96,16.2
STF-00381,Credit & Lending,Lending Manager,"loan_underwriting,credit_risk",Credit & Lending,Loan Officer,"credit_risk,loan_underwriting,customer_service",1.7,15.0,1,855.6,9.0
STF-00382,Credit & Lending,Credit Analyst,"data_analytics,aml_compliance,loan_underwriting",Compliance & Risk,AML Investigator,"aml_compliance,cybersecurity,leadership",0.7,16.0,2,634.53,6.4
STF-00383,Credit & Lending,Lending Manager,"aml_compliance,credit_risk,data_analytics",Compliance & Risk,Risk Analyst,"credit_risk,aml_compliance,data_analytics",5.3,19.0,4,357.84,7.8
STF-00384,Treasury & Markets,Treasury Analyst,"treasury_ops,forex_ops,credit_risk",Treasury & Markets,FX Dealer,"treasury_ops,credit_risk",2.8,18.0,3,898.94,7.6
STF-00385,Digital & IT,Systems Administrator,"cybersecurity,it_support,treasury_ops",Compliance & Risk,AML Investigator,"leadership,cybersecurity,credit_risk,it_support",6.0,19.0,2,813.18,2.9
STF-00386,Digital & IT,Systems Administrator,"data_analytics,digital_banking,it_support",Digital & IT,IT Support Analyst,"digital_banking,it_support,cybersecurity",8.1,23.0,3,890.88,5.1
STF-00387,Compliance & Risk,AML Investigator,"leadership,aml_compliance,credit_risk,branch_management",Private & Wealth,Relationship Manager,"leadership,wealth_management",5.5,22.0,3,641.72,0.0
STF-00388,Private & Wealth,Wealth Advisor,"wealth_management,sales_advisory,customer_service",Compliance & Risk,Compliance Officer,"credit_risk,leadership",3.5,13.0,3,561.62,0.0
STF-00389,Retail Banking,Branch Supervisor,"sales_advisory,teller_ops,loan_underwriting",Retail Banking,Branch Officer,"branch_management,customer_service,loan_underwriting",5.5,12.0,3,747.73,3.9
STF-00390,Treasury & Markets,Treasury Analyst,"data_analytics,credit_risk,forex_ops",Treasury & Markets,Markets Associate,"credit_risk,data_analytics,treasury_ops,loan_underwriting",7.6,27.0,2,1180.02,4.4
STF-00391,Digital & IT,IT Support Analyst,"cybersecurity,data_analytics,it_support,treasury_ops",Digital & IT,Systems Administrator,"cybersecurity,data_analytics,customer_service",4.8,13.0,3,893.96,1.9
STF-00392,Digital & IT,Digital Banking Officer,"data_analytics,cybersecurity,digital_banking",Retail Banking,Customer Service Rep,"sales_advisory,customer_service,teller_ops,aml_compliance",3.5,27.0,3,820.95,13.7
STF-00393,Private & Wealth,Wealth Advisor,"customer_service,wealth_management",Compliance & Risk,AML Investigator,"aml_compliance,leadership,cybersecurity",0.4,11.0,4,455.32,5.4
STF-00394,Compliance & Risk,Risk Analyst,"aml_compliance,leadership",Compliance & Risk,Risk Analyst,"leadership,credit_risk,aml_compliance",2.0,18.0,3,779.92,8.7
STF-00395,Compliance & Risk,Risk Analyst,"aml_compliance,credit_risk",Compliance & Risk,Compliance Officer,"aml_compliance,leadership",12.9,23.0,1,1022.36,2.4
STF-00396,Private & Wealth,Wealth Advisor,"sales_advisory,wealth_management,teller_ops",Credit & Lending,Underwriter,"loan_underwriting,credit_risk,aml_compliance,forex_ops",6.5,18.0,3,831.72,12.4
STF-00397,Retail Banking,Branch Officer,"customer_service,branch_management,teller_ops,sales_advisory,forex_ops",Compliance & Risk,Risk Analyst,"aml_compliance,leadership",3.2,17.0,3,527.31,8.9
STF-00398,Compliance & Risk,Compliance Officer,"cybersecurity,leadership",Retail Banking,Teller,"sales_advisory,branch_management",3.5,17.0,3,864.72,2.4
STF-00399,Treasury & Markets,Markets Associate,"forex_ops,credit_risk,data_analytics,treasury_ops",Digital & IT,Digital Banking Officer,"digital_banking,it_support,data_analytics",3.0,15.0,3,1025.88,6.7
STF-00400,Private & Wealth,Relationship Manager,"leadership,customer_service,teller_ops",Private & Wealth,Wealth Advisor,"leadership,customer_service,wealth_management,digital_banking",0.2,18.0,4,693.52,3.3
STF-00401,Credit & Lending,Loan Officer,"loan_underwriting,data_analytics,credit_risk",Digital & IT,Digital Banking Officer,"digital_banking,data_analytics,credit_risk",8.7,13.0,2,866.41,8.0
STF-00402,Private & Wealth,Relationship Manager,"customer_service,sales_advisory",Private & Wealth,Relationship Manager,"customer_service,leadership,sales_advisory",2.9,27.0,3,968.96,2.7
STF-00403,Retail Banking,Customer Service Rep,"teller_ops,sales_advisory",Treasury & Markets,Treasury Analyst,"forex_ops,data_analytics,treasury_ops",15.3,25.0,3,774.05,7.8
STF-00404,Compliance & Risk,AML Investigator,"aml_compliance,credit_risk",Compliance & Risk,Risk Analyst,"credit_risk,cybersecurity",2.4,17.0,2,714.91,7.7
STF-00405,Digital & IT,IT Support Analyst,"data_analytics,cybersecurity",Digital & IT,IT Support Analyst,"data_analytics,cybersecurity",3.0,19.0,4,578.91,7.9
STF-00406,Compliance & Risk,Compliance Officer,"leadership,aml_compliance,cybersecurity,credit_risk,data_analytics",Digital & IT,Digital Banking Officer,"it_support,cybersecurity,digital_banking",1.4,23.0,3,581.64,14.7
STF-00407,Treasury & Markets,Treasury Analyst,"credit_risk,treasury_ops",Treasury & Markets,Treasury Analyst,"credit_risk,treasury_ops,data_analytics",4.8,25.0,3,643.12,5.5
STF-00408,Private & Wealth,Relationship Manager,"sales_advisory,customer_service,wealth_management,teller_ops",Private & Wealth,Wealth Advisor,"customer_service,wealth_management,sales_advisory",2.9,14.0,2,780.86,7.9
STF-00409,Private & Wealth,Relationship Manager,"customer_service,leadership,digital_banking",Compliance & Risk,AML Investigator,"credit_risk,cybersecurity",6.9,18.0,3,909.19,4.5
STF-00410,Private & Wealth,Wealth Advisor,"leadership,wealth_management,customer_service,sales_advisory,forex_ops",Compliance & Risk,Risk Analyst,"credit_risk,leadership,cybersecurity",17.6,12.0,4,969.13,13.2
STF-00411,Treasury & Markets,Markets Associate,"credit_risk,treasury_ops,data_analytics,forex_ops,leadership",Treasury & Markets,FX Dealer,"treasury_ops,credit_risk",6.3,13.0,3,692.75,5.5
STF-00412,Retail Banking,Branch Supervisor,"sales_advisory,customer_service,teller_ops,it_support",Retail Banking,Customer Service Rep,"teller_ops,branch_management",2.5,16.0,3,1043.3,8.3
STF-00413,Treasury & Markets,Treasury Analyst,"treasury_ops,forex_ops,data_analytics,loan_underwriting",Treasury & Markets,Treasury Analyst,"credit_risk,data_analytics,treasury_ops,branch_management",11.8,24.0,4,1031.41,6.4
STF-00414,Credit & Lending,Lending Manager,"credit_risk,aml_compliance,loan_underwriting,data_analytics",Retail Banking,Branch Officer,"branch_management,teller_ops,sales_advisory,treasury_ops",5.8,21.0,2,646.13,6.1
STF-00415,Private & Wealth,Wealth Advisor,"customer_service,leadership,wealth_management,treasury_ops",Private & Wealth,Private Banker,"customer_service,wealth_management,teller_ops",4.2,14.0,3,856.52,3.6
STF-00416,Private & Wealth,Relationship Manager,"leadership,sales_advisory,customer_service,wealth_management",Private & Wealth,Wealth Advisor,"wealth_management,sales_advisory,leadership,teller_ops",2.1,18.0,4,487.25,12.0
STF-00417,Digital & IT,Systems Administrator,"cybersecurity,digital_banking,it_support,data_analytics",Compliance & Risk,AML Investigator,"credit_risk,aml_compliance,cybersecurity,data_analytics",9.4,17.0,5,928.49,5.6
STF-00418,Retail Banking,Branch Officer,"branch_management,sales_advisory,teller_ops,customer_service,data_analytics",Treasury & Markets,FX Dealer,"data_analytics,treasury_ops,credit_risk,leadership",9.6,22.0,1,872.07,0.3
STF-00419,Retail Banking,Customer Service Rep,"branch_management,teller_ops,customer_service,sales_advisory,data_analytics",Private & Wealth,Wealth Advisor,"leadership,wealth_management,customer_service,treasury_ops",2.8,21.0,4,754.68,5.8
STF-00420,Compliance & Risk,Compliance Officer,"cybersecurity,aml_compliance,leadership,treasury_ops",Private & Wealth,Wealth Advisor,"sales_advisory,wealth_management",3.3,19.0,3,710.17,5.4
